Year,Series,Source,Pollutant,Value
2016,H3a (interim),Larger industrial sites,,1409.30926149752
2017,H3a (interim),Larger industrial sites,,1346.6586200520003
2018,H3a (interim),Larger industrial sites,,1649.879675254
2019,H3a (interim),Larger industrial sites,,1129.0
2016,H3a (interim),Crematoria,,507.524893169756
2017,H3a (interim),Crematoria,,516.2954615937319
2018,H3a (interim),Crematoria,,532.014636291242
2019,H3a (interim),Crematoria,,522.58813041839
2000,H3b (interim),,Dioxin-like Polychlorinated biphenyl,100.0
2000,H3b (interim),,Dioxins and Furans,100.0
2000,H3b (interim),,Hexachlorobenzene,100.0
2000,H3b (interim),,Polychlorinated biphenyl,100.0
2000,H3b (interim),,Polychlorinated naphthalenes,100.0
2000,H3b (interim),,Pentachlorophenol,100.0
2000,H3b (interim),,PentaChloroBenzine,100.0
2001,H3b (interim),,Dioxin-like Polychlorinated biphenyl,83.70292236307661
2001,H3b (interim),,Dioxins and Furans,97.90323546417274
2001,H3b (interim),,Hexachlorobenzene,87.97171307244574
2001,H3b (interim),,Polychlorinated biphenyl,83.55469065576342
2001,H3b (interim),,Polychlorinated naphthalenes,83.21748928008533
2001,H3b (interim),,Pentachlorophenol,94.5946820204719
2001,H3b (interim),,PentaChloroBenzine,73.20457604442774
2002,H3b (interim),,Dioxin-like Polychlorinated biphenyl,69.41186380563441
2002,H3b (interim),,Dioxins and Furans,92.52657173270876
2002,H3b (interim),,Hexachlorobenzene,82.78349817204602
2002,H3b (interim),,Polychlorinated biphenyl,70.25086248022964
2002,H3b (interim),,Polychlorinated naphthalenes,69.59434386089967
2002,H3b (interim),,Pentachlorophenol,89.4341196298024
2002,H3b (interim),,PentaChloroBenzine,62.92070792449852
2003,H3b (interim),,Dioxin-like Polychlorinated biphenyl,59.26144807657919
2003,H3b (interim),,Dioxins and Furans,88.26177002909715
2003,H3b (interim),,Hexachlorobenzene,77.65686908039045
2003,H3b (interim),,Polychlorinated biphenyl,59.409303401781614
2003,H3b (interim),,Polychlorinated naphthalenes,58.59477038527872
2003,H3b (interim),,Pentachlorophenol,84.67909220919864
2003,H3b (interim),,PentaChloroBenzine,43.94862082052309
2004,H3b (interim),,Dioxin-like Polychlorinated biphenyl,50.49728473466604
2004,H3b (interim),,Dioxins and Furans,87.52676900326853
2004,H3b (interim),,Hexachlorobenzene,98.63512803812183
2004,H3b (interim),,Polychlorinated biphenyl,50.84558092514945
2004,H3b (interim),,Polychlorinated naphthalenes,49.7321077855504
2004,H3b (interim),,Pentachlorophenol,80.10117011224375
2004,H3b (interim),,PentaChloroBenzine,37.50521005530816
2005,H3b (interim),,Dioxin-like Polychlorinated biphenyl,43.69986856360588
2005,H3b (interim),,Dioxins and Furans,76.81617744370331
2005,H3b (interim),,Hexachlorobenzene,94.28395079046196
2005,H3b (interim),,Polychlorinated biphenyl,43.56995961210277
2005,H3b (interim),,Polychlorinated naphthalenes,42.38328470012792
2005,H3b (interim),,Pentachlorophenol,75.74297727646982
2005,H3b (interim),,PentaChloroBenzine,32.37468243933478
2006,H3b (interim),,Dioxin-like Polychlorinated biphenyl,38.73007609359618
2006,H3b (interim),,Dioxins and Furans,66.84263443469973
2006,H3b (interim),,Hexachlorobenzene,87.95130519933798
2006,H3b (interim),,Polychlorinated biphenyl,37.47284783322609
2006,H3b (interim),,Polychlorinated naphthalenes,36.63054540137282
2006,H3b (interim),,Pentachlorophenol,71.53812165925876
2006,H3b (interim),,PentaChloroBenzine,28.64595666513819
2007,H3b (interim),,Dioxin-like Polychlorinated biphenyl,34.149309960142624
2007,H3b (interim),,Dioxins and Furans,61.02359873369678
2007,H3b (interim),,Hexachlorobenzene,75.16648520323422
