year,sea,percentage
1996,Greater North Sea,100.0
1997,Greater North Sea,100.0
1998,Greater North Sea,100.0
1999,Greater North Sea,100.0
2000,Greater North Sea,96.4285714285714
2001,Greater North Sea,82.1428571428571
2002,Greater North Sea,78.5714285714286
2003,Greater North Sea,78.5714285714286
2004,Greater North Sea,71.4285714285714
2005,Greater North Sea,71.4285714285714
2006,Greater North Sea,71.4285714285714
2007,Greater North Sea,64.2857142857143
2008,Greater North Sea,57.1428571428571
2009,Greater North Sea,57.1428571428571
2010,Greater North Sea,57.1428571428571
2011,Greater North Sea,57.1428571428571
2012,Greater North Sea,57.1428571428571
2013,Greater North Sea,53.5714285714286
2014,Greater North Sea,53.5714285714286
2015,Greater North Sea,53.5714285714286
2016,Greater North Sea,50.0
2017,Greater North Sea,50.0
2018,Greater North Sea,
2019,Greater North Sea,
1996,Celtic Seas,100.0
1997,Celtic Seas,100.0
1998,Celtic Seas,100.0
1999,Celtic Seas,100.0
2000,Celtic Seas,100.0
2001,Celtic Seas,94.4444444444444
2002,Celtic Seas,94.4444444444444
2003,Celtic Seas,94.4444444444444
2004,Celtic Seas,88.8888888888889
2005,Celtic Seas,88.8888888888889
2006,Celtic Seas,77.7777777777778
2007,Celtic Seas,77.7777777777778
2008,Celtic Seas,72.2222222222222
2009,Celtic Seas,72.2222222222222
2010,Celtic Seas,72.2222222222222
2011,Celtic Seas,72.2222222222222
2012,Celtic Seas,72.2222222222222
2013,Celtic Seas,72.2222222222222
2014,Celtic Seas,66.6666666666667
2015,Celtic Seas,55.5555555555556
2016,Celtic Seas,55.5555555555556
2017,Celtic Seas,61.1111111111111
2018,Celtic Seas,72.2222222222222
2019,Celtic Seas,72.2222222222222
