Year,Value,Series
2001,1.5345876543998411,J2b
2002,1.5833766099385018,J2b
2003,1.606235666422693,J2b
2004,1.5449125913700024,J2b
2005,1.6584202679123174,J2b
2006,1.7450752189556054,J2b
2007,1.85381902510563,J2b
2008,2.130041028070938,J2b
2009,2.336740961198843,J2b
2010,2.4602731180200696,J2b
2011,2.400877773136521,J2b
2012,2.4767317033724936,J2b
2013,2.377691202979839,J2b
2014,2.133240572308148,J2b
2015,2.011412163143986,J2b
2016,2.2117800006802826,J2b
2017,2.4275111495498507,J2b
2018,2.4803042377484696,J2b
